Date,Scope,Country,State,"# Players",Rank,Faction,"Ship Points","# Ships","# Uniques","# Large","# Small",Skill,Attack,Agility,Hull,Shields,List
"2014-11-06","World championship","United States of America","Minnesota",114,32,rebel,95,5,0,0,5,10,13,7,16,17,"Gold Squadron Pilot, Bandit Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Rookie Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,33,rebel,85,4,1,1,3,21,9,7,14,11,"Tala Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,34,imperial,94,7,1,0,7,20,14,21,21,0,"Academy Pilot, Academy Pilot, Academy Pilot, Academy Pilot, Black Squadron Pilot, Black Squadron Pilot, ""Howlrunner"""
"2014-11-06","World championship","United States of America","Minnesota",114,35,rebel,86,2,2,2,0,12,6,2,16,10,"Chewbacca (Rebel Alliance), Lando Calrissian"
"2014-11-06","World championship","United States of America","Minnesota",114,36,imperial,83,3,2,1,2,17,9,7,11,8,"Omicron Group Pilot, Colonel Vessery, Soontir Fel"
"2014-11-06","World championship","United States of America","Minnesota",114,37,imperial,85,5,0,1,4,10,11,9,29,5,"Omicron Group Pilot, Scimitar Squadron Pilot, Scimitar Squadron Pilot, Scimitar Squadron Pilot, Scimitar Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,38,rebel,90,5,0,0,5,10,13,7,13,19,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,39,imperial,96,6,2,0,6,18,14,17,17,2,"""Echo"", Academy Pilot, Academy Pilot, Academy Pilot, Academy Pilot, ""Howlrunner"""
"2014-11-06","World championship","United States of America","Minnesota",114,40,imperial,84,3,1,2,1,11,10,5,13,11,"Omicron Group Pilot, Bounty Hunter, ""Echo"""
"2014-11-06","World championship","United States of America","Minnesota",114,41,rebel,85,4,1,1,3,21,9,7,14,11,"Tala Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,42,rebel,87,4,1,0,4,17,11,7,11,11,"Bandit Squadron Pilot, Red Squadron Pilot, Red Squadron Pilot, Keyan Farlander"
"2014-11-06","World championship","United States of America","Minnesota",114,43,rebel,84,4,1,1,3,19,9,7,14,11,"Bandit Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,44,rebel,88,4,0,0,4,8,12,4,12,20,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,45,imperial,85,3,3,0,3,24,10,8,8,2,"""Whisper"", Soontir Fel, Carnor Jax"
"2014-11-06","World championship","United States of America","Minnesota",114,46,rebel,90,5,0,0,5,10,13,7,13,19,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,47,imperial,85,3,3,0,3,24,10,8,8,2,"""Whisper"", Soontir Fel, Carnor Jax"
"2014-11-06","World championship","United States of America","Minnesota",114,48,rebel,67,2,2,1,1,13,4,3,12,6,"Jan Ors, Chewbacca (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,49,rebel,85,4,1,0,4,12,10,4,16,16,"Gold Squadron Pilot, ""Dutch"" Vander, Blue Squadron Pilot, Blue Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,50,rebel,75,2,2,1,1,16,6,2,11,10,"Keyan Farlander, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,51,imperial,84,3,1,2,1,11,10,5,13,11,"Omicron Group Pilot, Bounty Hunter, ""Echo"""
"2014-11-06","World championship","United States of America","Minnesota",114,52,imperial,86,4,1,2,2,12,12,7,15,12,"Academy Pilot, Omicron Group Pilot, Omicron Group Pilot, ""Whisper"""
"2014-11-06","World championship","United States of America","Minnesota",114,53,rebel,95,5,1,0,5,18,11,13,10,11,"Prototype Pilot, Prototype Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Corran Horn"
"2014-11-06","World championship","United States of America","Minnesota",114,54,rebel,89,3,3,0,3,22,9,7,8,7,"Etahn A'baht, Wedge Antilles, Luke Skywalker"
"2014-11-06","World championship","United States of America","Minnesota",114,55,imperial,87,5,3,0,5,28,11,15,15,0,"Academy Pilot, Black Squadron Pilot, ""Mauler Mithel"", ""Howlrunner"", Carnor Jax"
"2014-11-06","World championship","United States of America","Minnesota",114,56,rebel,85,3,2,1,2,16,8,4,13,12,"Bandit Squadron Pilot, Keyan Farlander, Lando Calrissian"
"2014-11-06","World championship","United States of America","Minnesota",114,57,rebel,93,4,2,0,4,15,11,7,11,14,"Blue Squadron Pilot, Green Squadron Pilot, Keyan Farlander, Tarn Mison"
"2014-11-06","World championship","United States of America","Minnesota",114,58,imperial,82,3,2,1,2,16,9,7,11,8,"Carnor Jax, Colonel Vessery, Omicron Group Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,59,rebel,90,3,3,1,2,13,9,5,14,9,"Chewbacca (Rebel Alliance), Biggs Darklighter, Tarn Mison"
"2014-11-06","World championship","United States of America","Minnesota",114,60,rebel,90,4,2,1,3,16,9,8,14,11,"Bandit Squadron Pilot, Bandit Squadron Pilot, Jake Farrell, Chewbacca (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,61,rebel,81,3,3,0,3,22,8,6,8,9,"Keyan Farlander, Luke Skywalker, Jake Farrell"
"2014-11-06","World championship","United States of America","Minnesota",114,62,imperial,95,5,3,0,5,24,11,15,15,3,"Academy Pilot, Academy Pilot, ""Backstabber"", ""Howlrunner"", Rexler Brath"
"2014-11-06","World championship","United States of America","Minnesota",114,63,rebel,79,3,3,0,3,22,7,6,10,5,"Biggs Darklighter, Jan Ors, Wedge Antilles"
"2014-11-06","World championship","United States of America","Minnesota",114,64,rebel,91,5,1,0,5,15,12,10,12,13,"Bandit Squadron Pilot, Bandit Squadron Pilot, Rookie Pilot, Blue Squadron Pilot, Jake Farrell"
"2014-11-06","World championship","United States of America","Minnesota",114,65,rebel,93,6,1,0,6,28,13,12,13,12,"Tala Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Luke Skywalker"
"2014-11-06","World championship","United States of America","Minnesota",114,66,rebel,88,4,3,0,4,15,9,8,12,10,"Tarn Mison, Prototype Pilot, Roark Garnet, Keyan Farlander"
"2014-11-06","World championship","United States of America","Minnesota",114,68,rebel,100,5,0,0,5,10,14,6,14,22,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,69,imperial,96,3,0,2,1,7,9,7,15,11,"Delta Squadron Pilot, Bounty Hunter, Bounty Hunter"
"2014-11-06","World championship","United States of America","Minnesota",114,70,rebel,88,2,2,2,0,14,6,2,16,10,"Chewbacca (Rebel Alliance), Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,71,rebel,90,4,2,0,4,17,10,7,13,12,"Rookie Pilot, Blue Squadron Pilot, ""Dutch"" Vander, Jake Farrell"
"2014-11-06","World championship","United States of America","Minnesota",114,72,imperial,99,3,0,3,0,9,9,6,18,12,"Bounty Hunter, Bounty Hunter, Bounty Hunter"
"2014-11-06","World championship","United States of America","Minnesota",114,73,rebel,90,5,0,0,5,10,13,7,13,19,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,74,rebel,89,3,3,0,3,22,9,7,8,7,"Etahn A'baht, Luke Skywalker, Wedge Antilles"
"2014-11-06","World championship","United States of America","Minnesota",114,75,rebel,78,4,0,0,4,8,11,5,11,17,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,76,rebel,94,5,2,0,5,20,12,11,11,11,"Tala Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Etahn A'baht, Tarn Mison"
"2014-11-06","World championship","United States of America","Minnesota",114,77,rebel,95,4,3,0,4,24,11,8,11,8,"Bandit Squadron Pilot, Biggs Darklighter, Wedge Antilles, Wes Janson"
"2014-11-06","World championship","United States of America","Minnesota",114,78,imperial,86,5,2,0,5,28,11,15,15,0,"Black Squadron Pilot, Black Squadron Pilot, Black Squadron Pilot, ""Mauler Mithel"", Soontir Fel"
"2014-11-06","World championship","United States of America","Minnesota",114,79,rebel,100,5,0,0,5,10,14,6,14,22,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,80,imperial,88,3,2,1,2,15,10,6,10,10,"Omicron Group Pilot, Colonel Vessery, ""Whisper"""
"2014-11-06","World championship","United States of America","Minnesota",114,81,rebel,80,3,1,1,2,13,6,4,17,9,"Rebel Operative, Gold Squadron Pilot, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,82,imperial,87,5,2,0,5,27,10,15,15,2,"""Dark Curse"", Black Squadron Pilot, Black Squadron Pilot, Black Squadron Pilot, Darth Vader"
"2014-11-06","World championship","United States of America","Minnesota",114,83,rebel,75,3,2,0,3,16,8,5,8,12,"Keyan Farlander, Blue Squadron Pilot, Jake Farrell"
"2014-11-06","World championship","United States of America","Minnesota",114,84,rebel,86,2,2,2,0,12,6,2,16,10,"Lando Calrissian, Chewbacca (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,85,imperial,83,3,3,0,3,19,9,8,8,5,"""Dark Curse"", ""Whisper"", Colonel Vessery"
"2014-11-06","World championship","United States of America","Minnesota",114,86,imperial,88,3,3,1,2,22,9,7,11,8,"Captain Kagi, Colonel Vessery, Carnor Jax"
"2014-11-06","World championship","United States of America","Minnesota",114,87,imperial,87,5,1,1,4,12,11,14,18,4,"Academy Pilot, Academy Pilot, Academy Pilot, Academy Pilot, Boba Fett (Firespray-31)"
"2014-11-06","World championship","United States of America","Minnesota",114,88,rebel,81,4,3,0,4,18,8,8,11,10,"Prototype Pilot, Roark Garnet, Airen Cracken, Nera Dantels"
"2014-11-06","World championship","United States of America","Minnesota",114,89,rebel,82,4,1,1,3,15,9,7,14,11,"Han Solo (Rebel Alliance), Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,90,imperial,82,3,1,0,3,8,8,8,12,6,"Delta Squadron Pilot, Delta Squadron Pilot, Captain Jonus"
"2014-11-06","World championship","United States of America","Minnesota",114,91,imperial,95,3,1,2,1,15,8,7,15,10,"Bounty Hunter, Bounty Hunter, Darth Vader"
"2014-11-06","World championship","United States of America","Minnesota",114,92,imperial,83,5,1,0,5,25,11,15,15,0,"Black Squadron Pilot, Black Squadron Pilot, Black Squadron Pilot, Black Squadron Pilot, Soontir Fel"
"2014-11-06","World championship","United States of America","Minnesota",114,93,rebel,88,4,2,0,4,19,10,8,9,12,"Bandit Squadron Pilot, Bandit Squadron Pilot, Keyan Farlander, Corran Horn"
"2014-11-06","World championship","United States of America","Minnesota",114,94,rebel,77,2,2,1,1,13,6,4,10,8,"Corran Horn, Chewbacca (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,95,rebel,90,5,0,0,5,10,13,7,13,19,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,96,imperial,97,6,2,0,6,29,13,18,18,0,"Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Soontir Fel, ""Howlrunner"""
"2014-11-06","World championship","United States of America","Minnesota",114,97,rebel,75,3,2,0,3,16,8,5,8,12,"Jake Farrell, Blue Squadron Pilot, Keyan Farlander"
"2014-11-06","World championship","United States of America","Minnesota",114,98,imperial,90,4,1,3,1,15,12,6,18,15,"Omicron Group Pilot, Omicron Group Pilot, Omicron Group Pilot, Soontir Fel"
"2014-11-06","World championship","United States of America","Minnesota",114,99,imperial,83,3,3,0,3,19,9,8,8,5,"Colonel Vessery, ""Whisper"", ""Backstabber"""
"2014-11-06","World championship","United States of America","Minnesota",114,100,rebel,96,4,1,0,4,19,11,6,11,17,"Jake Farrell, Dagger Squadron Pilot, Dagger Squadron Pilot, Dagger Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,101,rebel,90,3,1,1,2,13,9,3,14,15,"Blue Squadron Pilot, Blue Squadron Pilot, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,102,imperial,97,3,1,0,3,10,9,9,9,9,"Rexler Brath, Delta Squadron Pilot, Delta Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,103,imperial,83,3,2,1,2,16,9,7,11,6,"Boba Fett (Firespray-31), ""Whisper"", Academy Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,104,rebel,86,5,1,0,5,16,12,9,12,13,"Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot, Blue Squadron Pilot, Luke Skywalker"
"2014-11-06","World championship","United States of America","Minnesota",114,105,rebel,83,4,2,0,4,16,10,8,10,11,"Blue Squadron Pilot, Prototype Pilot, Biggs Darklighter, Airen Cracken"
"2014-11-06","World championship","United States of America","Minnesota",114,106,rebel,93,5,1,0,5,12,10,13,13,11,"Prototype Pilot, Prototype Pilot, Prototype Pilot, Prototype Pilot, Horton Salm"
"2014-11-06","World championship","United States of America","Minnesota",114,107,imperial,89,3,2,2,1,15,10,5,13,11,"Omicron Group Pilot, Kath Scarlet (Firespray-31), ""Echo"""
"2014-11-06","World championship","United States of America","Minnesota",114,108,rebel,88,3,2,1,2,15,8,6,13,9,"Prototype Pilot, Biggs Darklighter, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,109,rebel,85,4,1,0,4,16,9,11,8,9,"Bandit Squadron Pilot, Green Squadron Pilot, Green Squadron Pilot, Corran Horn"
"2014-11-06","World championship","United States of America","Minnesota",114,110,imperial,63,3,0,3,0,6,9,3,15,15,"Omicron Group Pilot, Omicron Group Pilot, Omicron Group Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,111,imperial,75,2,2,2,0,13,6,4,12,8,"Boba Fett (Firespray-31), Krassis Trelix"
"2014-11-06","World championship","United States of America","Minnesota",114,112,rebel,100,3,3,1,2,23,9,5,14,9,"Biggs Darklighter, Wedge Antilles, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,113,imperial,77,3,3,1,2,21,9,7,11,5,"Carnor Jax, Turr Phennir, Colonel Jendon"
"2014-11-06","World championship","United States of America","Minnesota",114,114,rebel,81,2,2,1,1,17,6,4,10,8,"Corran Horn, Han Solo (Rebel Alliance)"
"2016-01-12","Other","United States of America","Virginia",26,1,rebel,77,3,3,0,3,19,7,6,10,6,"Poe Dameron (Resistance), Kyle Katarn, Biggs Darklighter"
"2016-01-12","Other","United States of America","Virginia",26,5,rebel,75,3,1,0,3,16,7,5,12,9,"Corran Horn, Gray Squadron Pilot, Gray Squadron Pilot"
"2016-01-12","Other","United States of America","Virginia",26,8,rebel,73,3,1,0,3,13,7,6,10,9,"Poe Dameron (Resistance), Green Squadron Pilot, Warden Squadron Pilot"
"2016-01-12","Other","United States of America","Virginia",26,9,imperial,79,4,3,1,3,22,10,10,14,5,"Soontir Fel, Omicron Group Pilot, ""Wampa"", ""Scourge"""
"2016-01-12","Other","United States of America","Virginia",26,10,rebel,82,4,1,1,3,15,9,7,14,11,"Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot, Han Solo (Rebel Alliance)"
"2016-01-12","Other","United States of America","Virginia",26,13,rebel,79,3,2,0,3,17,8,5,11,9,"Poe Dameron (Resistance), Ello Asty, Gold Squadron Pilot"
"2016-01-12","Other","United States of America","Virginia",26,14,imperial,94,6,4,0,6,23,12,18,18,2,"""Howlrunner"", Lieutenant Colzet, ""Youngster"", ""Wampa"", Academy Pilot, Academy Pilot"
"2016-01-12","Other","United States of America","Virginia",26,15,scum,78,4,1,1,3,14,9,6,15,13,"Moralo Eval, Syndicate Thug, Black Sun Soldier, Black Sun Soldier"
"2016-01-12","Other","United States of America","Virginia",26,16,imperial,86,3,2,0,3,19,8,9,9,5,"Darth Vader, Soontir Fel, Delta Squadron Pilot"
"2016-01-12","Other","United States of America","Virginia",26,17,rebel,86,4,2,0,4,20,8,8,14,10,"Horton Salm, ""Dutch"" Vander, Green Squadron Pilot, Green Squadron Pilot"
"2016-01-12","Other","United States of America","Virginia",26,18,rebel,71,3,1,0,3,12,6,3,15,11,"Horton Salm, Warden Squadron Pilot, Warden Squadron Pilot"
"2016-01-12","Other","United States of America","Virginia",26,19,imperial,73,3,3,0,3,22,8,8,8,4,"""Whisper"", ""Omega Leader"", ""Zeta Leader"""
"2016-01-12","Other","United States of America","Virginia",26,20,imperial,83,4,4,0,4,26,9,12,12,3,"Carnor Jax, ""Omega Ace"", ""Epsilon Leader"", ""Zeta Ace"""
"2016-01-12","Other","United States of America","Virginia",26,21,rebel,65,2,2,1,1,15,4,3,10,9,"Miranda Doni, Dash Rendar"
"2016-01-12","Other","United States of America","Virginia",26,22,scum,72,4,0,0,4,8,8,4,20,12,"Syndicate Thug, Syndicate Thug, Syndicate Thug, Syndicate Thug"
"2016-01-12","Other","United States of America","Virginia",26,23,rebel,60,2,2,1,1,14,4,5,7,7,"Jake Farrell, Dash Rendar"
"2016-01-12","Other","United States of America","Virginia",26,24,rebel,81,3,3,0,3,19,9,6,9,7,"Ello Asty, Jek Porkins, ""Hobbie"" Klivian"
"2016-01-12","Other","United States of America","Virginia",26,25,rebel,85,3,3,0,3,22,8,7,8,8,"Poe Dameron (Resistance), Ello Asty, Jake Farrell"
"2016-01-12","Other","United States of America","Virginia",26,26,rebel,81,3,3,0,3,21,8,5,11,8,"Poe Dameron (Resistance), Horton Salm, Biggs Darklighter"
"2016-01-10","Other","United Kingdom","Leicestershire",18,1,rebel,75,3,0,0,3,12,6,3,15,12,"Guardian Squadron Pilot, Guardian Squadron Pilot, Guardian Squadron Pilot"
"2016-01-10","Other","United Kingdom","Leicestershire",18,2,rebel,72,4,0,0,4,8,8,4,20,12,"Gold Squadron Pilot, Gold Squadron Pilot, Gold Squadron Pilot, Gold Squadron Pilot"
"2016-01-10","Other","United Kingdom","Leicestershire",18,3,scum,72,2,2,2,0,12,6,6,8,8,"IG-88B, IG-88A"
"2016-01-10","Other","United Kingdom","Leicestershire",18,4,imperial,85,5,0,0,5,20,10,15,15,5,"Omega Squadron Pilot, Omega Squadron Pilot, Omega Squadron Pilot, Omega Squadron Pilot, Omega Squadron Pilot"
"2016-01-10","Other","United Kingdom","Leicestershire",18,18,rebel,71,2,2,1,1,15,5,5,7,8,"Dash Rendar, Corran Horn"
"2016-01-10","Other","United Kingdom","Leicestershire",18,18,rebel,79,3,2,0,3,17,8,5,11,9,"Gold Squadron Pilot, Ello Asty, Poe Dameron (Resistance)"
"2016-01-10","Other","United Kingdom","Leicestershire",18,18,scum,72,2,2,2,0,12,6,6,8,8,"IG-88B, IG-88C"
"2016-01-10","Other","United Kingdom","Leicestershire",18,18,scum,91,5,1,1,4,20,11,10,14,12,"Black Sun Soldier, Black Sun Soldier, Black Sun Soldier, Black Sun Soldier, Boba Fett (Firespray-31)"
"2016-01-09","Store championship","United States of America","Arizona",24,1,imperial,98,7,3,0,7,27,14,21,21,0,"Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, ""Chaser"", ""Wampa"", ""Howlrunner"""
"2016-01-09","Store championship","United States of America","Arizona",24,7,rebel,71,2,2,1,1,15,5,5,7,8,"Corran Horn, Dash Rendar"
"2016-01-09","Store championship","United States of America","Arizona",24,10,imperial,83,3,3,1,2,23,7,7,11,9,"Juno Eclipse, Darth Vader, Colonel Jendon"
"2016-01-09","Store championship","United States of America","Arizona",24,11,imperial,79,3,3,0,3,23,9,8,8,3,"Carnor Jax, ""Omega Leader"", ""Whisper"""
"2016-01-09","Store championship","United States of America","Arizona",24,12,rebel,77,2,2,1,1,17,6,2,11,10,"Han Solo (Rebel Alliance), Ten Numb"
"2016-01-09","Store championship","United States of America","Arizona",24,16,imperial,74,3,3,1,2,23,8,7,11,6,"""Omega Leader"", Soontir Fel, Colonel Jendon"
"2016-01-09","Store championship","United States of America","Arizona",24,17,imperial,76,3,2,1,2,19,8,7,11,7,"Darth Vader, Carnor Jax, Omicron Group Pilot"
"2016-01-09","Store championship","United States of America","Arizona",24,18,scum,72,2,2,2,0,12,6,6,8,8,"IG-88B, IG-88C"
